Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VAutopilotResetLoggingProvider@Logging@Reset@Autopilot@Management@Internal@Windows@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180042021,Microsoft.Internal.Management.Autopilot.Reset,{F10F4696-DD8A-40F0-90BE-CD013D0DB9C7},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VAutopilotResetLoggingProvider@Logging@Reset@Autopilot@Management@Internal@Windows@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180042174,Microsoft.Internal.Management.Autopilot.Reset,{F10F4696-DD8A-40F0-90BE-CD013D0DB9C7},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VAutopilotResetLoggingProvider@Logging@Reset@Autopilot@Management@Internal@Windows@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180042481,Microsoft.Internal.Management.Autopilot.Reset,{F10F4696-DD8A-40F0-90BE-CD013D0DB9C7},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VAutopilotResetLoggingProvider@Logging@Reset@Autopilot@Management@Internal@Windows@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180044692,Microsoft.Internal.Management.Autopilot.Reset,{F10F4696-DD8A-40F0-90BE-CD013D0DB9C7},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?Stop@?$ActivityBase@VAutopilotResetLoggingProvider@Logging@Reset@Autopilot@Management@Internal@Windows@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1800447b6,Microsoft.Internal.Management.Autopilot.Reset,{F10F4696-DD8A-40F0-90BE-CD013D0DB9C7},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@CopyProvisioningPackagesActivity@PerformRefreshTelemetry@Logging@Reset@Autopilot@Management@Internal@Windows@@QEAAXXZ,0x180043774,Microsoft.Internal.Management.Autopilot.Reset,{F10F4696-DD8A-40F0-90BE-CD013D0DB9C7},CopyProvisioningPackagesActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@CopyProvisioningPackagesActivity@PerformRefreshTelemetry@Logging@Reset@Autopilot@Management@Internal@Windows@@MEAAXXZ,0x180044903,Microsoft.Internal.Management.Autopilot.Reset,{F10F4696-DD8A-40F0-90BE-CD013D0DB9C7},CopyProvisioningPackagesActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@CopyProvisioningPackagesActivity@PerformRefreshTelemetry@Logging@Reset@Autopilot@Management@Internal@Windows@@MEAAXXZ,0x180044a90,Microsoft.Internal.Management.Autopilot.Reset,{F10F4696-DD8A-40F0-90BE-CD013D0DB9C7},CopyProvisioningPackagesActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$GetPackagesFromPlugin@_N@CopyProvisioningPackagesActivity@PerformRefreshTelemetry@Logging@Reset@Autopilot@Management@Internal@Windows@@QEAAX$$QEA_N@Z,0x18003de97,Microsoft.Internal.Management.Autopilot.Reset,{F10F4696-DD8A-40F0-90BE-CD013D0DB9C7},GetPackagesFromPlugin,5,0x400000000000,FoundPackages:UInt8(Boolean),CallGraph-d1
?StartActivity@Initialize2Activity@PerformRefreshTelemetry@Logging@Reset@Autopilot@Management@Internal@Windows@@QEAAXXZ,0x18004388c,Microsoft.Internal.Management.Autopilot.Reset,{F10F4696-DD8A-40F0-90BE-CD013D0DB9C7},Initialize2Activity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
