Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VWindowManagementLogging@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18030b2ab,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VWindowManagementLogging@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18030b42b,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VWindowManagementLogging@@$00$0CAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180350585,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VWindowManagementLogging@@$00$0CAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1803506cd,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VWindowManagementLogging@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1801738f5,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VWindowManagementLogging@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180173a3d,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VWindowManagementLogging@@$0A@$0A@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1802c8c61,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VWindowManagementLogging@@$00$0CAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180350b55,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},ActivityIntermediateStop,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?Stop@?$ActivityBase@VWindowManagementLogging@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1801d8ae9,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?Stop@?$ActivityBase@VWindowManagementLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1800f9953,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?Stop@?$ActivityBase@VWindowManagementLogging@@$0A@$0A@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180048549,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?AttemptingDismissBackContractHandler@HandlingInvocation@BackTelemetry@@QEAAXW4SHELL_TARGET_IDENTIFIER@@@Z,0x18030712c,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},AttemptingDismissBackContractHandler,5,0x200000000000,"PartA_PrivTags:UInt64, TargetId:UInt32",CallGraph-d1
?AttemptingInAppBack@HandlingInvocation@BackTelemetry@@QEAAXPEAUIApplicationView@@@Z,0x18030720d,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},AttemptingInAppBack,5,0x200000000000,"PartA_PrivTags:UInt64, AppId:UnicodeString",CallGraph-d1
?AttemptingSystemBack@HandlingInvocation@BackTelemetry@@QEAAXXZ,0x18030729e,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},AttemptingSystemBack,5,0x200000000000,PartA_PrivTags:UInt64,CallGraph-d1
?StartActivity@CalculateRudeWindows@RudeWindowTraceLogging@@QEAAXW4RecalculateRudeWindowsReason@@PEAUHWND__@@@Z,0x180047cac,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},CalculateRudeWindows,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, reason:UnicodeString, referenceWindow:HexInt64",Direct-Preceding
?StartActivity@CalculateRudeWindows@RudeWindowTraceLogging@@QEAAXW4RecalculateRudeWindowsReason@@PEAUHWND__@@@Z,0x180047ce2,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},CalculateRudeWindows,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, reason:UnicodeString, referenceWindow:HexInt64",Direct-Preceding
?StopActivity@CalculateRudeWindows@RudeWindowTraceLogging@@MEAAXXZ,0x18003f601,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},CalculateRudeWindows,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",Direct-Nearest
?StopActivity@CalculateRudeWindows@RudeWindowTraceLogging@@MEAAXXZ,0x18003f624,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},CalculateRudeWindows,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",Direct-Nearest
?StopActivity@CalculateRudeWindows@RudeWindowTraceLogging@@MEAAXXZ,0x18003f7af,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},CalculateRudeWindows,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Direct-Preceding
?ChromeControlsInvokeAppBar_@ChromeControlsTelemetryImpl@@QEBAXPEAUIImmersiveApplication@@HW4CHROME_CONTROLS_SOURCE@@@Z,0x180385d8d,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},ChromeControlsInvokeAppBar,5,0x200000000000,"AppId:UnicodeString, IsFullScreen:Int32, Source:UInt32",CallGraph-d1
?ChromeControlsInvokeBack_@ChromeControlsTelemetryImpl@@QEBAXPEAUIImmersiveApplication@@I@Z,0x180385e68,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},ChromeControlsInvokeBack,5,0x400000000000,"appId:UnicodeString, result:UInt32",CallGraph-d1
?DesktopModeInAppNotHandled@HandlingInvocation@BackTelemetry@@QEAAXPEAUIApplicationView@@@Z,0x180307361,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},DesktopModeInAppNotHandled,5,0x200000000000,"PartA_PrivTags:UInt64, AppId:UnicodeString",CallGraph-d1
?DismissBackContractHandlerOverridden@HandlingInvocation@BackTelemetry@@QEAAXW4SHELL_TARGET_IDENTIFIER@@W4OverrideAction@@@Z,0x1803073f8,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},DismissBackContractHandlerOverridden,5,0x200000000000,"PartA_PrivTags:UInt64, TargetId:UInt32, OverrideAction:UInt32",CallGraph-d1
?DismissedBackContractHandler@HandlingInvocation@BackTelemetry@@QEAAXW4SHELL_TARGET_IDENTIFIER@@@Z,0x180307488,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},DismissedBackContractHandler,5,0x200000000000,"PartA_PrivTags:UInt64, TargetId:UInt32",CallGraph-d1
?EarlyReturn@CalculateRudeWindows@RudeWindowTraceLogging@@QEAAXXZ,0x1800480b2,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},EarlyReturn,5,0x0,PartA_PrivTags:UInt64,Direct-Nearest
?EarlyReturn@CalculateRudeWindows@RudeWindowTraceLogging@@QEAAXXZ,0x1800480e0,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},EarlyReturn,5,0x0,PartA_PrivTags:UInt64,Direct-Nearest
?EdgeUiAutoHideImmuneWorkAreaUnavailable_@EdgeTelemetry@@QEBAXXZ,0x1801ccb7f,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},EdgeUiAutoHideImmuneWorkAreaUnavailable,5,0x200000000000,PartA_PrivTags:UInt64,CallGraph-d1
?EdgeUiInvokeTaskbar_@EdgeTelemetry@@QEBAXI@Z,0x18003ed01,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},EdgeUiInvokeTaskbar,5,0x200000000000,Method:UInt32,CallGraph-d1
?EdgeUiInvokeTitleBar_@EdgeTelemetry@@QEBAXI@Z,0x1801d07f3,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},EdgeUiInvokeTitlebar,5,0x200000000000,"Method:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
?EdgeUiInvoked_@EdgeTelemetry@@QEBAXII@Z,0x18003efc2,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},EdgeUiInvoked,5,0x200000000000,"Edge:UInt32, Method:UInt32",CallGraph-d1
?EdgeUiTouchInvoked_@EdgeTelemetry@@QEBAXI@Z,0x1801ccbd5,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},EdgeUiTouchInvoked,5,0x400000000000,Edge:UInt32,CallGraph-d1
?StartActivity@EnterCompactOverlayModeForView@OverlayModeTelemetry@@QEAAXPEAUIApplicationView@@UtagSIZE@@W4CompactOverlayEnterStyle@2@@Z,0x1801747f6,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},EnterCompactOverlayModeForView,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, AppId:UnicodeString, PreferredSizeCx:Int32, PreferredSizeCy:Int32, EnterStyle:Int32, ViewId:HexInt64",CallGraph-d1
?StopActivity@EnterCompactOverlayModeForView@OverlayModeTelemetry@@MEAAXXZ,0x1801748b2,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},EnterCompactOverlayModeForView,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@EnterCompactOverlayModeForView@OverlayModeTelemetry@@MEAAXXZ,0x180174a1a,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},EnterCompactOverlayModeForView,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@EnterpriseChromeEDPGlyphDrag@EnterpriseChromeTelemetry@EnterpriseChrome@@QEAAXW4BadgeState@@W4InputMode@23@@Z,0x1801d8836,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},EnterpriseChromeEDPGlyphDrag,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, badgeState:UInt32, inputMode:UInt32",CallGraph-d1
?StopActivity@EnterpriseChromeEDPGlyphDrag@EnterpriseChromeTelemetry@EnterpriseChrome@@MEAAXXZ,0x1801d8bc2,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},EnterpriseChromeEDPGlyphDrag,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@EnterpriseChromeEDPGlyphDrag@EnterpriseChromeTelemetry@EnterpriseChrome@@MEAAXXZ,0x1801d8d27,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},EnterpriseChromeEDPGlyphDrag,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?EnterpriseChromeEDPGlyphStateChange_@EnterpriseChromeTelemetry@EnterpriseChrome@@QEBAXW4BadgeState@@_N@Z,0x1801d76b2,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},EnterpriseChromeEDPGlyphStateChange,5,0x400000000000,"badgeState:UInt32, isTimeout:Bool32",CallGraph-d1
?FullscreenWindow@CalculateRudeWindows@RudeWindowTraceLogging@@QEAAXPEAUIRudeWindowWin32Functions@@PEAUHWND__@@@Z,0x1800478f1,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},FullscreenWindow,5,0x0,"window:HexInt64, class:UnicodeString, name:UnicodeString, style:HexInt32, exStyle:HexInt32, windowRect.1.left:Int32, windowRect.2.top:Int32, windowRect.3.right:Int32, windowRect.4.bottom:Int32, PartA_PrivTags:UInt64",Direct-Nearest
?FullscreenWindow@CalculateRudeWindows@RudeWindowTraceLogging@@QEAAXPEAUIRudeWindowWin32Functions@@PEAUHWND__@@@Z,0x180047927,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},FullscreenWindow,5,0x0,"window:HexInt64, class:UnicodeString, name:UnicodeString, style:HexInt32, exStyle:HexInt32, windowRect.1.left:Int32, windowRect.2.top:Int32, windowRect.3.right:Int32, windowRect.4.bottom:Int32, PartA_PrivTags:UInt64",Direct-Nearest
?GetWindowRectFailed@CalculateRudeWindows@RudeWindowTraceLogging@@QEAAXPEAUHWND__@@@Z,0x18010514b,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},GetWindowRectFailed,5,0x0,"window:HexInt64, PartA_PrivTags:UInt64",CallGraph-d1
?StartActivity@HandlingInvocation@BackTelemetry@@QEAAXW4SHELL_TARGET_IDENTIFIER@@PEAUIApplicationView@@W4BACK_INVOKE_FLAGS@@@Z,0x180308340,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},HandlingInvocation,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, TargetId:UInt32, AppId:UnicodeString, Method:UInt32, Touch:Bool32",CallGraph-d1
?StopActivity@HandlingInvocation@BackTelemetry@@MEAAXXZ,0x180308432,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},HandlingInvocation,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@HandlingInvocation@BackTelemetry@@MEAAXXZ,0x180308597,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},HandlingInvocation,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?IgnoreDueToActiveRequest@HandlingInvocation@BackTelemetry@@QEAAXXZ,0x180307632,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},IgnoreDueToActiveRequest,5,0x200000000000,PartA_PrivTags:UInt64,CallGraph-d1
?IgnoreInAppResponse@HandlingInvocation@BackTelemetry@@QEAAXXZ,0x180307692,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},IgnoreInAppResponse,5,0x200000000000,PartA_PrivTags:UInt64,CallGraph-d1
?InAppBack@HandlingInvocation@BackTelemetry@@QEAAXPEAUIApplicationView@@@Z,0x180307755,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},InAppBack,5,0x200000000000,"PartA_PrivTags:UInt64, AppId:UnicodeString",CallGraph-d1
?StartActivity@InAppBackInvocation@BackTelemetry@@QEAAXPEAUIApplicationView@@@Z,0x18030b997,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},InAppBackInvocation,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, AppId:UnicodeString",CallGraph-d1
?Stop@InAppBackInvocation@BackTelemetry@@QEAAXW4InAppBackResponse@@@Z,0x18030ba54,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},InAppBackInvocation,5,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, Response:UInt32",CallGraph-d1
?Stop@InAppBackInvocation@BackTelemetry@@QEAAXW4InAppBackResponse@@@Z,0x18030bbce,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},InAppBackInvocation,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, Response:UInt32",CallGraph-d1
?StopActivity@InAppBackInvocation@BackTelemetry@@MEAAXXZ,0x18030bcb2,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},InAppBackInvocation,5,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@InAppBackInvocation@BackTelemetry@@MEAAXXZ,0x18030be17,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},InAppBackInvocation,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?MonitorRudeness@CalculateRudeWindows@RudeWindowTraceLogging@@QEAAXPEAUIRudeWindowWin32Functions@@AEBUtagRECT@@_NPEAUHWND__@@3@Z,0x180048933,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},MonitorRudeness,5,0x0,"monitorRect.1.left:Int32, monitorRect.2.top:Int32, monitorRect.3.right:Int32, monitorRect.4.bottom:Int32, isRude:UInt8(Boolean), fullscreenWindow:HexInt64, topWindow:HexInt64, topWindowClass:UnicodeString, topWindowName:UnicodeString, topWindowStyle:HexInt32, topWindowExStyle:HexInt32, PartA_PrivTags:UInt64",Direct-Nearest
?MonitorRudeness@CalculateRudeWindows@RudeWindowTraceLogging@@QEAAXPEAUIRudeWindowWin32Functions@@AEBUtagRECT@@_NPEAUHWND__@@3@Z,0x180048978,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},MonitorRudeness,5,0x0,"monitorRect.1.left:Int32, monitorRect.2.top:Int32, monitorRect.3.right:Int32, monitorRect.4.bottom:Int32, isRude:UInt8(Boolean), fullscreenWindow:HexInt64, topWindow:HexInt64, topWindowClass:UnicodeString, topWindowName:UnicodeString, topWindowStyle:HexInt32, topWindowExStyle:HexInt32, PartA_PrivTags:UInt64",Direct-Nearest
?NoActionDueToStartVisibleOnEmptyBackstack@HandlingInvocation@BackTelemetry@@QEAAXXZ,0x180308102,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},NoActionDueToStartVisibleOnEmptyBackstack,5,0x200000000000,PartA_PrivTags:UInt64,CallGraph-d1
?ResizeCompactOverlayModeView_@OverlayModeTelemetry@@QEAAXPEAUIApplicationView@@UtagSIZE@@1@Z,0x180173f64,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},ResizeCompactOverlayModeView,5,0x400000000000,"AppId:UnicodeString, currentWindowSize.cx:Int32, currentWindowSize.cy:Int32, windowSize.cx:Int32, windowSize.cy:Int32, ViewId:HexInt64",CallGraph-d1
?StartActivity@SetMode@TabletModeControllerTelemetry@@QEAAXHH@Z,0x18034f311,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},SetMode,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, Trigger:Int32, Mode:Int32",CallGraph-d1
?StopActivity@SetMode@TabletModeControllerTelemetry@@MEAAXXZ,0x18034f482,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},SetMode,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@SetMode@TabletModeControllerTelemetry@@MEAAXXZ,0x18034f5ea,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},SetMode,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
