Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x14000f9c4,Microsoft.Windows.AlgLogger,{3DA6D4CC-F6DC-5A6F-2389-920426CAE26C},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x14000fb13,Microsoft.Windows.AlgLogger,{3DA6D4CC-F6DC-5A6F-2389-920426CAE26C},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
??$HasFtpConnectionBeenCreated@AEA_N@AlgTelemetry@@SAXAEA_N@Z,0x140019d91,Microsoft.Windows.AlgLogger,{3DA6D4CC-F6DC-5A6F-2389-920426CAE26C},HasFtpConnectionBeenCreated,5,0x400000000000,"hasFtpConnectionCreated:UInt8(Boolean), PartA_PrivTags:UInt64",SingleProvider
?TraceError@CMyDebugTrace@@QEAAXPEBDHH@Z,0x140010959,Microsoft.Windows.AlgLogger,{3DA6D4CC-F6DC-5A6F-2389-920426CAE26C},MyTrace_DoTraceError,2,0x0,msg:UnicodeString,SingleProvider
??0CMyDebugTrace@@QEAA@PEBD0H_NH@Z,0x140007094,Microsoft.Windows.AlgLogger,{3DA6D4CC-F6DC-5A6F-2389-920426CAE26C},MyTrace_DoTraceInfo,4,0x0,msg:UnicodeString,SingleProvider
??0CMyDebugTrace@@QEAA@PEBD0H_NH@Z,0x1400070c3,Microsoft.Windows.AlgLogger,{3DA6D4CC-F6DC-5A6F-2389-920426CAE26C},MyTrace_DoTraceInfo,4,0x0,msg:UnicodeString,SingleProvider
??1CMyDebugTrace@@QEAA@XZ,0x1400075f7,Microsoft.Windows.AlgLogger,{3DA6D4CC-F6DC-5A6F-2389-920426CAE26C},MyTrace_DoTraceInfo,4,0x0,msg:UnicodeString,SingleProvider
??1CMyDebugTrace@@QEAA@XZ,0x140007621,Microsoft.Windows.AlgLogger,{3DA6D4CC-F6DC-5A6F-2389-920426CAE26C},MyTrace_DoTraceInfo,4,0x0,msg:UnicodeString,SingleProvider
?MyTraceInfo@CMyDebugTrace@@QEAAXPEBDZZ,0x14000c68b,Microsoft.Windows.AlgLogger,{3DA6D4CC-F6DC-5A6F-2389-920426CAE26C},MyTrace_DoTraceInfo,4,0x0,msg:UnicodeString,SingleProvider
?MyTraceVerbose@CMyDebugTrace@@QEAAXPEBDZZ,0x14001c1a7,Microsoft.Windows.AlgLogger,{3DA6D4CC-F6DC-5A6F-2389-920426CAE26C},MyTrace_DoTraceVerbose,5,0x0,msg:UnicodeString,SingleProvider
