Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VClientTelemetry@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001bc05,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VClientTelemetry@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001bd56,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?AppUpdateResult@ClientCoreTelemetry@@SAXPEB_W_N1H1HJJ1@Z,0x18000e649,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},AppUpdateInstallResult,5,0x800000000000,"PartA_PrivTags:UInt64, updaterId:UnicodeString, Completed:UInt8(Boolean), VelocityEnabled:UInt8(Boolean), OperationStatus:Int32, Succeeded:UInt8(Boolean), InstallFailureReason:Int32, DeploymentErrorCode:Int32, DeploymentExtendedErrorCode:Int32, DeploymentAttempted:UInt8(Boolean), UusVersion:AnsiString",CallGraph-d1
?BizCriticalStoreAppInstallAlreadyRunning@ClientCoreTelemetry@@SAXXZ,0x18000e1b0,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},BizCriticalStoreAppInstallAlreadyRunning,5,0x800000000000,"PartA_PrivTags:UInt64, UusVersion:AnsiString",CallGraph-d1
?BizCriticalStoreAppInstallResult@ClientCoreTelemetry@@SAXPEB_WV?$basic_zstring_view@_W@wil@@HJ1@Z,0x18000e108,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},BizCriticalStoreAppInstallResult,5,0x800000000000,"PartA_PrivTags:UInt64, updaterId:UnicodeString, PFN:UnicodeString, AppInstallState:Int32, HRESULT:Int32(HResult), __TlgCV__:UnicodeString, UusVersion:AnsiString",CallGraph-d1
?EdgeUpdateResult@ClientCoreTelemetry@@SAX_NJI@Z,0x18000e2a9,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},EdgeUpdateResult,5,0x800000000000,"PartA_PrivTags:UInt64, WorkCompleted:UInt8(Boolean), VelocityEnabled:Int32, HRESULT:Int32, ExitCode:UInt32, UusVersion:AnsiString",CallGraph-d1
?MACUpdateResult@ClientCoreTelemetry@@SAX_N0H00HJJ0@Z,0x18000e381,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},MACUpdateInstallResult,5,0x800000000000,"PartA_PrivTags:UInt64, Completed:UInt8(Boolean), VelocityEnabled:UInt8(Boolean), OperationStatus:Int32, Succeeded:UInt8(Boolean), IsRetriableError:UInt8(Boolean), InstallFailureReason:Int32, DeploymentErrorCode:Int32, DeploymentExtendedErrorCode:Int32, DeploymentAttempted:UInt8(Boolean), UusVersion:AnsiString",CallGraph-d1
??$Message@PEB_W@ClientTelemetry@@SAX$$QEAPEB_W@Z,0x18001fb78,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},Message,5,0x0,message:UnicodeString,CallGraph-d1
?StartActivity@Run@ClientTelemetry@@QEAAXV?$basic_zstring_view@_W@wil@@AEBUUusInfo@uus@@@Z,0x18000cb5d,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},Run,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, argument:UnicodeString, UusVersion:AnsiString, UusInfo:Struct(String), ver:UnicodeString, src:UnicodeString",CallGraph-d1
?StartActivity@Run@ClientTelemetry@@QEAAXV?$basic_zstring_view@_W@wil@@AEBUUusInfo@uus@@@Z,0x18000cc4e,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},Run,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, argument:UnicodeString, UusVersion:AnsiString",CallGraph-d1
?Stop@Run@ClientTelemetry@@QEAAXV?$basic_zstring_view@_W@wil@@@Z,0x18000cf2c,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},Run,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, argument:UnicodeString, UusVersion:AnsiString, UusInfo:Struct(String), ver:UnicodeString, src:UnicodeString",CallGraph-d1
?Stop@Run@ClientTelemetry@@QEAAXV?$basic_zstring_view@_W@wil@@@Z,0x18000d083,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},Run,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, argument:UnicodeString, UusVersion:AnsiString, UusInfo:Struct(String), ver:UnicodeString, src:UnicodeString",CallGraph-d1
?Stop@Run@ClientTelemetry@@QEAAXV?$basic_zstring_view@_W@wil@@@Z,0x18000d1b9,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},Run,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, argument:UnicodeString, UusVersion:AnsiString",CallGraph-d1
?Stop@Run@ClientTelemetry@@QEAAXV?$basic_zstring_view@_W@wil@@@Z,0x18000d384,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},Run,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, argument:UnicodeString, UusVersion:AnsiString",CallGraph-d1
?Stop@Run@ClientTelemetry@@QEAAXV?$basic_zstring_view@_W@wil@@H@Z,0x18000d6c2,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},Run,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, argument:UnicodeString, reportExpected:Int32, UusVersion:AnsiString, UusInfo:Struct(String), ver:UnicodeString, src:UnicodeString",CallGraph-d1
?Stop@Run@ClientTelemetry@@QEAAXV?$basic_zstring_view@_W@wil@@H@Z,0x18000d83f,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},Run,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, argument:UnicodeString, reportExpected:Int32, UusVersion:AnsiString, UusInfo:Struct(String), ver:UnicodeString, src:UnicodeString",CallGraph-d1
?Stop@Run@ClientTelemetry@@QEAAXV?$basic_zstring_view@_W@wil@@H@Z,0x18000dabb,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},Run,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, argument:UnicodeString, reportExpected:Int32, UusVersion:AnsiString",CallGraph-d1
?Stop@Run@ClientTelemetry@@QEAAXV?$basic_zstring_view@_W@wil@@H@Z,0x18000dbb8,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},Run,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, argument:UnicodeString, reportExpected:Int32, UusVersion:AnsiString",CallGraph-d1
?StopActivity@Run@ClientTelemetry@@MEAAXXZ,0x18000c61c,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},Run,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@Run@ClientTelemetry@@MEAAXXZ,0x18000c7a8,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},Run,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?ShouldLaunchManager@@YA_NV?$basic_zstring_view@_W@wil@@@Z,0x180010af6,Microsoft.Windows.Update.Orchestrator.Client,{A8B932C2-51EC-5C22-63FC-0115FD79B9E0},StartOobeScanIgnoredSinceEulaWillBeShown,5,0x400000000000,"PartA_PrivTags:UInt64, UusVersion:AnsiString",CallGraph-d1
