Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VSignInOptionsPageLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAIAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x14000a5a5,Microsoft.Windows.Shell.SystemSettings.SignInOptionsPage,{55F422C8-0AA0-529D-95F5-8E69B6A29C98},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VSignInOptionsPageLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAIAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x14000a6ed,Microsoft.Windows.Shell.SystemSettings.SignInOptionsPage,{55F422C8-0AA0-529D-95F5-8E69B6A29C98},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VSignInOptionsPageLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x14000b4fe,Microsoft.Windows.Shell.SystemSettings.SignInOptionsPage,{55F422C8-0AA0-529D-95F5-8E69B6A29C98},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@AddPinSettingAddAdPin@SignInOptionsPageTelemetry@@QEAAXXZ,0x14000b258,Microsoft.Windows.Shell.SystemSettings.SignInOptionsPage,{55F422C8-0AA0-529D-95F5-8E69B6A29C98},AddPinSettingAddAdPin,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@AddPinSettingAddAdPin@SignInOptionsPageTelemetry@@MEAAXXZ,0x14000b6bb,Microsoft.Windows.Shell.SystemSettings.SignInOptionsPage,{55F422C8-0AA0-529D-95F5-8E69B6A29C98},AddPinSettingAddAdPin,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@AddPinSettingAddAdPin@SignInOptionsPageTelemetry@@MEAAXXZ,0x14000b73b,Microsoft.Windows.Shell.SystemSettings.SignInOptionsPage,{55F422C8-0AA0-529D-95F5-8E69B6A29C98},AddPinSettingAddAdPin,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@AddPinSettingAddLocalPin@SignInOptionsPageTelemetry@@QEAAXXZ,0x14000b2fc,Microsoft.Windows.Shell.SystemSettings.SignInOptionsPage,{55F422C8-0AA0-529D-95F5-8E69B6A29C98},AddPinSettingAddLocalPin,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@AddPinSettingAddLocalPin@SignInOptionsPageTelemetry@@MEAAXXZ,0x14000b8f8,Microsoft.Windows.Shell.SystemSettings.SignInOptionsPage,{55F422C8-0AA0-529D-95F5-8E69B6A29C98},AddPinSettingAddLocalPin,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@AddPinSettingAddLocalPin@SignInOptionsPageTelemetry@@MEAAXXZ,0x14000b979,Microsoft.Windows.Shell.SystemSettings.SignInOptionsPage,{55F422C8-0AA0-529D-95F5-8E69B6A29C98},AddPinSettingAddLocalPin,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@AddPinSettingAddSecondaryAadPin@SignInOptionsPageTelemetry@@QEAAXXZ,0x14000b3a0,Microsoft.Windows.Shell.SystemSettings.SignInOptionsPage,{55F422C8-0AA0-529D-95F5-8E69B6A29C98},AddPinSettingAddSecondaryAadPin,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
