Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?ProcessIoctl@CUmrdpProcessor@Umrdp@Avenc@Rdp@@UEAAJ_N_KPEAX12PEAI@Z,0x18000fd4b,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},"(""Ioctl"", (_tlgLevel, 0x4))",4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, SessionId:UInt32, TerminalLuid:HexInt64, SuspendGraphicsProcessing:Bool32",Direct-Preceding
?ProcessIoctl@CUmrdpProcessor@Umrdp@Avenc@Rdp@@UEAAJ_N_KPEAX12PEAI@Z,0x18000fe09,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},"(""Ioctl"", (_tlgLevel, 0x4))",5,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, SessionId:UInt32, TerminalLuid:HexInt64",Direct-Preceding
?CreateCpuFrameProcessor@CMonitorContext@Raw@Avenc@Rdp@@UEAAJPEAPEAUICpuFrameProcessor@34@PEAUIPropertyStore@@@Z,0x180021831,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},Avenc,4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, SessionId:UInt32, MonitorId:UInt32",Direct-Preceding
?CreateCpuFrameProcessor@CMonitorContext@Umrdp@Avenc@Rdp@@UEAAJPEAPEAUICpuFrameProcessor@34@PEAUIPropertyStore@@@Z,0x180017700,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},Avenc,4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, SessionId:UInt32, MonitorId:UInt32",Direct-Preceding
?CreateGpuFrameProcessor@CMonitorContext@Raw@Avenc@Rdp@@UEAAJPEAPEAUIGpuFrameProcessor@34@PEAUIPropertyStore@@@Z,0x180021ab1,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},Avenc,4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, SessionId:UInt32, MonitorId:UInt32",Direct-Preceding
?CreateGpuFrameProcessor@CMonitorContext@Umrdp@Avenc@Rdp@@UEAAJPEAPEAUIGpuFrameProcessor@34@PEAUIPropertyStore@@@Z,0x1800178d0,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},Avenc,4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, SessionId:UInt32, MonitorId:UInt32",Direct-Preceding
?CreateMonitor@CRawProcessor@Raw@Avenc@Rdp@@UEAAJPEAPEAUIMonitorContext@34@PEAUIPropertyStore@@@Z,0x18001fad6,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},Avenc,4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString",Direct-Preceding
?CreateMonitor@CUmrdpProcessor@Umrdp@Avenc@Rdp@@UEAAJPEAPEAUIMonitorContext@34@PEAUIPropertyStore@@@Z,0x18000f443,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},Avenc,4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString",Direct-Preceding
?CreateRdpSurface@CCpuFrameProcessor@Umrdp@Avenc@Rdp@@AEAAXXZ,0x180019f20,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},CPU_FRAME_PROC,4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, MonitorId:UInt32, SessionId:UInt32",Direct-Preceding
?CreateRdpSurface@CCpuFrameProcessor@Umrdp@Avenc@Rdp@@AEAAXXZ,0x18001a096,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},CPU_FRAME_PROC,4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, MonitorId:UInt32, SessionId:UInt32",Direct-Preceding
?SecureDesktopUpdate@CCpuFrameProcessor@Umrdp@Avenc@Rdp@@UEAAJII_KPEBX@Z,0x18001aed3,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},CPU_FRAME_PROC,2,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, MonitorId:UInt32, SessionId:UInt32, FrameId:UInt32",Direct-Preceding
?SetRenderDevice@CCpuFrameProcessor@Umrdp@Avenc@Rdp@@UEAAJPEAUID3D11Device@@@Z,0x18001b109,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},CPU_FRAME_PROC,4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, MonitorId:UInt32, SessionId:UInt32",Direct-Preceding
?SetRenderDevice@CCpuFrameProcessor@Umrdp@Avenc@Rdp@@UEAAJPEAUID3D11Device@@@Z,0x18001b21b,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},CPU_FRAME_PROC,4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, MonitorId:UInt32, SessionId:UInt32",Direct-Preceding
?SetRenderDevice@CCpuFrameProcessor@Umrdp@Avenc@Rdp@@UEAAJPEAUID3D11Device@@@Z,0x18001b331,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},CPU_FRAME_PROC,4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, MonitorId:UInt32, SessionId:UInt32",Direct-Preceding
?SetCursor@CMonitorContext@Raw@Avenc@Rdp@@UEAAJW4AVENC_CURSOR_FLAGS@34@PEBUAVENC_CURSOR_POSITION@34@PEBUAVENC_CURSOR_SHAPE_INFO@34@I@Z,0x18002241b,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},DUMP,4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString",Direct-Preceding
RdpAvencLoggingProvider::ResultLoggingCallback,0x18000c9a4,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},ERROR,2,0x0,"file:AnsiString, lineNumber:UInt32, failureCount:UInt32, hresult:Int32(HResult), status:UInt32(NTStatus), NTSTATUS as error source:UInt8(Boolean), msg:UnicodeString",Direct-Preceding
RdpAvencLoggingProvider::ResultLoggingCallback,0x18000c9d0,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},EXCEPTION,2,0x0,"file:AnsiString, lineNumber:UInt32, failureCount:UInt32, hresult:Int32(HResult), status:UInt32(NTStatus), NTSTATUS as error source:UInt8(Boolean), msg:UnicodeString",Direct-Preceding
??$ProcessFrameInternal@UIFrameDxBuffer@Avenc@Rdp@@@?$CFrameProcessor@UIGpuFrameProcessor@Avenc@Rdp@@@Umrdp@Avenc@Rdp@@IEAAJAEAUIFrameDxBuffer@23@PEA_N@Z,0x1800190c3,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},FRAME_PROC,2,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, MonitorId:UInt32, SessionId:UInt32, PresentationFrameNumber:UInt32, hresult:Int32(HResult)",Direct-Preceding
??$ProcessFrameInternal@UIFrameSystemBuffer@Avenc@Rdp@@@?$CFrameProcessor@UICpuFrameProcessor@Avenc@Rdp@@UIUmrdpFrameProcessorRailPrivate@Umrdp@23@@Umrdp@Avenc@Rdp@@IEAAJAEAUIFrameSystemBuffer@23@PEA_N@Z,0x180019473,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},FRAME_PROC,2,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, MonitorId:UInt32, SessionId:UInt32, PresentationFrameNumber:UInt32, hresult:Int32(HResult)",Direct-Preceding
?DestroyRdpSurface@?$CFrameProcessor@UICpuFrameProcessor@Avenc@Rdp@@UIUmrdpFrameProcessorRailPrivate@Umrdp@23@@Umrdp@Avenc@Rdp@@IEAAXXZ,0x18001a5f4,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},FRAME_PROC,4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, MonitorId:UInt32, SessionId:UInt32",Direct-Preceding
?DestroyRdpSurface@?$CFrameProcessor@UICpuFrameProcessor@Avenc@Rdp@@UIUmrdpFrameProcessorRailPrivate@Umrdp@23@@Umrdp@Avenc@Rdp@@IEAAXXZ,0x18001a725,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},FRAME_PROC,3,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, MonitorId:UInt32, SessionId:UInt32, FrameId:UInt32",Direct-Preceding
?DestroyRdpSurface@?$CFrameProcessor@UIGpuFrameProcessor@Avenc@Rdp@@@Umrdp@Avenc@Rdp@@IEAAXXZ,0x18001a7f5,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},FRAME_PROC,4,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, MonitorId:UInt32, SessionId:UInt32",Direct-Preceding
?DestroyRdpSurface@?$CFrameProcessor@UIGpuFrameProcessor@Avenc@Rdp@@@Umrdp@Avenc@Rdp@@IEAAXXZ,0x18001a920,Microsoft.Windows.Rdp.Graphics.RdpAvenc,{16E72985-266A-490E-8523-FB5FF5DA188E},FRAME_PROC,3,0x0,"file:AnsiString, lineNumber:UInt32, function:AnsiString, msg:AnsiString, MonitorId:UInt32, SessionId:UInt32, FrameId:UInt32",Direct-Preceding
