Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@UPackManagerTelemetry@@$00$0A@$03$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180038e76,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@UPackManagerTelemetry@@$00$0A@$03$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180038fa2,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?NotifyFailure@?$ActivityBase@UPackManagerTelemetry@@$00$0EAAAAAAAAAAA@$03$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800391e6,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@UPackManagerTelemetry@@$00$0EAAAAAAAAAAA@$03$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180039337,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?ReportStopActivity@?$ActivityBase@UPackManagerTelemetry@@$00$0A@$03$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x1800160de,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},ActivityFailure,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?ReportStopActivity@?$ActivityBase@UPackManagerTelemetry@@$00$0A@$03$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x18001624a,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},ActivityFailure,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Hex), hresult:UInt32, threadId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?Stop@?$ActivityBase@UPackManagerTelemetry@@$00$0A@$03$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180015e28,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$_tlgWriteActivityAutoStop@$0A@$03@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x1800326a8,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},ActivityStoppedAutomatically,4,0x0,(none),GlobalFallback
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$03@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x1800326e9,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},ActivityStoppedAutomatically,4,0x400000000000,(none),GlobalFallback
??$ExperienceCleanupFailed@PEB_WJ@PerformPackMaintenance@PackManagerTelemetry@@QEAAX$$QEAPEB_W$$QEAJ@Z,0x18002fc4d,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},ExperienceCleanupFailed,5,0x400000000000,"experienceId:UnicodeString, hr:Int32, PartA_PrivTags:UInt64",CallGraph-d1
??$ExperiencePackOpened@PEB_WPEB_WAEB_NAEAI@PackManagerTelemetry@@SAX$$QEAPEB_W0AEB_NAEAI@Z,0x18001238d,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},ExperiencePackOpened,5,0x400000000000,"experienceId:UnicodeString, version:UnicodeString, isInbox:UInt8(Boolean), count:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
??$ExperiencePackOpened@PEB_WPEB_WAEB_NAEAI@PackManagerTelemetry@@SAX$$QEAPEB_W0AEB_NAEAI@Z,0x1800123c2,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},ExperiencePackOpened,5,0x400000000000,"experienceId:UnicodeString, version:UnicodeString, isInbox:UInt8(Boolean), count:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
??$FailedToAcquireExperiencePackLock@PEB_WPEB_W_NJ@PackManagerTelemetry@@SAX$$QEAPEB_W0$$QEA_N$$QEAJ@Z,0x18004742e,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},FailedToAcquireExperiencePackLock,5,0x400000000000,"experienceId:UnicodeString, version:UnicodeString, isInbox:UInt8(Boolean), hr:Int32, PartA_PrivTags:UInt64",CallGraph-d1
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18002e367,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",GlobalFallback
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18002e4ba,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",GlobalFallback
?StartActivity@GetExperiencePackUpdatesProps@PackManagerTelemetry@@QEAAXXZ,0x18003b280,Microsoft.Windows.Services.Experiences.PackManager,{9A48DC1A-9E9E-4D01-AB50-EDC14668CF0C},GetExperiencePackUpdatesProps,4,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
