Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?Write@TelemetryWriter@@QEAAXPEBD@Z,0x18011a433,Microsoft.Windows.DeviceManager.DiagnosticsTool,{BF5F1EE5-5DC0-4836-9F23-889294C42A54},DiagnosticsToolActivities,5,0x400000000000,"PartA_PrivTags:UInt64, pszEventMsg:AnsiString",Direct-Preceding
?Write@TelemetryWriter@@QEAAXPEBDJ@Z,0x18011a4ab,Microsoft.Windows.DeviceManager.DiagnosticsTool,{BF5F1EE5-5DC0-4836-9F23-889294C42A54},DiagnosticsToolActivities,5,0x400000000000,"pszEventMsg:AnsiString, PartA_PrivTags:UInt64, hr:HexInt32",Direct-Preceding
?Write@TelemetryWriter@@QEAAXPEBG@Z,0x18011a533,Microsoft.Windows.DeviceManager.DiagnosticsTool,{BF5F1EE5-5DC0-4836-9F23-889294C42A54},DiagnosticsToolActivities,5,0x400000000000,"PartA_PrivTags:UInt64, pwszEventMsg:UnicodeString",Direct-Preceding
?Write@TelemetryWriter@@QEAAXPEBGJ@Z,0x18011a5ab,Microsoft.Windows.DeviceManager.DiagnosticsTool,{BF5F1EE5-5DC0-4836-9F23-889294C42A54},DiagnosticsToolActivities,5,0x400000000000,"pszEventMsg:UnicodeString, PartA_PrivTags:UInt64, hr:HexInt32",Direct-Preceding
??1TelemetryWriter@@QEAA@XZ,0x18011a283,Microsoft.Windows.DeviceManager.DiagnosticsTool,{BF5F1EE5-5DC0-4836-9F23-889294C42A54},DiagnosticsToolEnd,5,0x200000000000,hr:HexInt32,Direct-Preceding
??0TelemetryWriter@@QEAA@XZ,0x18011a1c2,Microsoft.Windows.DeviceManager.DiagnosticsTool,{BF5F1EE5-5DC0-4836-9F23-889294C42A54},DiagnosticsToolStart,5,0x200000000000,(none),Direct-Preceding
?ResultLoggingCallback@@YAXAEBUFailureInfo@wil@@@Z,0x18011a31d,Microsoft.Windows.DeviceManager.DiagnosticsTool,{BF5F1EE5-5DC0-4836-9F23-889294C42A54},FailureCallback,2,0x0,"file:AnsiString, lineNumber:UInt32, threadId:UInt32, hr:HexInt32, message:UnicodeString, code:AnsiString, function:AnsiString",Direct-Preceding
??$GetIntelMEFirmwareFailure@AEAJ@IntelSADetectionProvider@@SAXAEAJ@Z,0x180143951,Microsoft.Windows.IntelSADetection,{D6251BC7-06A9-5051-5DB0-04E9DAB145B5},GetIntelMEFirmwareFailure,5,0x0,hr:Int32,CallGraph-d2
?MEFirmwareVersion_@IntelSADetectionProvider@@QEAAXU_IntelMEFirmwareVersion@@@Z,0x180143b7f,Microsoft.Windows.IntelSADetection,{D6251BC7-06A9-5051-5DB0-04E9DAB145B5},IntelMEFirmwareVersion,5,0x0,dataName:UnicodeString,CallGraph-d2
?IntelSA00075_Vulnerable@IntelSADetectionProvider@@SAXXZ,0x180143ab9,Microsoft.Windows.IntelSADetection,{D6251BC7-06A9-5051-5DB0-04E9DAB145B5},IntelSA00075_Vulnerable,5,0x0,(none),CallGraph-d2
??$_tlgWriteActivityAutoStop@$0CAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18011a0d6,Unknown,Unknown,ActivityStoppedAutomatically,5,0x200000000000,(none),Unresolved
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180143c95,Unknown,Unknown,FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Unresolved
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180143e57,Unknown,Unknown,FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Unresolved
