Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$WindowTabHostExtendedUIInvoked@AEAI@WindowTabHostTelemetry@@SAXAEAI@Z,0x1800172c3,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},WindowTabHostExtendedUIInvoked,5,0x400000000000,"TotalNumberOfTabsDisplayed:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
?WindowTabHostTabSwitchedToViaTaskbar@WindowTabHostTelemetry@@SAXXZ,0x18012948a,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},WindowTabHostTabSwitchedToViaTaskbar,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d2
?WindowTabHostWindowClosedViaTaskbar@WindowTabHostTelemetry@@SAXXZ,0x1801225da,Microsoft-Windows-Desktop-Shell-Windowing,{F84AA759-31D3-59BF-2C89-3748CF17FD7E},WindowTabHostWindowClosedViaTaskbar,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d2
?AppLaunch_@LauncherAppLaunchTelemetry@@QEAAXPEBG0W4Location@LauncherTelemetry@@0@Z,0x1800c3677,Microsoft-Windows-Shell-Launcher,{3D6120A6-0986-51C4-213A-E2975903051D},AppLaunch,5,0x400000000000,"PartA_PrivTags:UInt64, AppId:UnicodeString, AppPackage:UnicodeString, Location:UInt32, PinningSource:UnicodeString",CallGraph-d1
?AppLaunched_@AppLaunchTelemetry@PerfTrack@@QEAAXW4Location@2@PEBG@Z,0x18002e84f,Microsoft.Windows.AppLifeCycle.UI,{EE97CDC4-B095-5C70-6E37-A541EB74C2B5},AppLaunch_UserClick,5,0x400000000000,"PartA_PrivTags:UInt64, entryPoint:UInt32, appId:UnicodeString",CallGraph-d2
?AppSwitched_@AppSwitchTelemetry@PerfTrack@@QEAAXW4SwitchLocation@2@PEBGW4SwitchInvokeMethod@2@1@Z,0x18002ff12,Microsoft.Windows.AppLifeCycle.UI,{EE97CDC4-B095-5C70-6E37-A541EB74C2B5},AppSwitch,5,0x400000000000,"entryPoint:UInt32, appId:UnicodeString, invokeMethod:UInt32, fromAppId:UnicodeString",CallGraph-d2
??$PolicyCheck@AEAY0BA@$$CBGAEAY0BN@$$CBG@AIAssistanceTelemetry@@SAXAEAY0BA@$$CBGAEAY0BN@$$CBG@Z,0x1801a1930,Microsoft.Windows.Desktop.AIAssistance,{AF9AC45E-1AE9-5532-59E6-F4AD05CAEBD2},PolicyCheck,5,0x0,"policyName:UnicodeString, details:UnicodeString",CallGraph-d2
??$PolicyCheckError@AEAY0BA@$$CBGAEAY0CF@$$CBGAEAJ@AIAssistanceTelemetry@@SAXAEAY0BA@$$CBGAEAY0CF@$$CBGAEAJ@Z,0x1801a198a,Microsoft.Windows.Desktop.AIAssistance,{AF9AC45E-1AE9-5532-59E6-F4AD05CAEBD2},PolicyCheckError,5,0x0,"policyName:UnicodeString, details:UnicodeString, error:UInt32",CallGraph-d2
??$PolicyCheckError@AEAY0BM@$$CBGAEAY0DC@$$CBGAEAJ@AIAssistanceTelemetry@@SAXAEAY0BM@$$CBGAEAY0DC@$$CBGAEAJ@Z,0x1801a19fe,Microsoft.Windows.Desktop.AIAssistance,{AF9AC45E-1AE9-5532-59E6-F4AD05CAEBD2},PolicyCheckError,5,0x0,"policyName:UnicodeString, details:UnicodeString, error:UInt32",CallGraph-d2
?NotifyFailure@?$ActivityBase@VImmersiveIconsLogging@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1801ab6db,Microsoft.Windows.Desktop.Shell.ImmersiveIcons,{A51097AD-C000-5EA3-BBD4-863ADDAEDD23},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
